time,interval,temperature_2m,apparent_temperature,relative_humidity_2m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,precipitation,rain,showers,snowfall,weather_code,cloud_cover,pressure_msl,surface_pressure,city
2025-06-27T20:00,900,19.0,20.7,94,7.8,146,10.4,0.0,0.0,0.0,0.0,0,18,1011.7,1000.1,Toronto
2025-06-28T03:30,900,25.0,23.7,34,4.7,4,10.1,0.0,0.0,0.0,0.0,2,62,1006.8,881.7,Tehran
2025-06-27T21:00,900,15.9,16.9,100,7.0,125,21.2,0.0,0.0,0.0,0.0,3,100,1023.7,940.2,Sao Paulo
2025-06-27T20:00,900,28.3,33.9,81,6.6,135,15.8,0.0,0.0,0.0,0.0,95,100,1019.2,1018.6,Miami
2025-06-27T17:00,900,20.2,18.5,65,22.0,268,30.2,0.0,0.0,0.0,0.0,0,0,1012.7,1010.6,San Francisco
2025-06-28T03:00,900,16.9,15.7,72,12.2,141,24.8,0.0,0.0,0.0,0.0,3,100,1004.6,1002.6,Petersburg
2025-06-28T02:00,900,20.4,20.8,85,16.6,225,31.3,0.0,0.0,0.0,0.0,0,1,1023.8,1020.7,Brussels
2025-06-28T02:00,900,25.4,24.7,37,4.3,5,11.9,0.0,0.0,0.0,0.0,0,10,1022.5,948.0,Madrid
2025-06-28T01:00,900,34.0,29.4,15,21.5,69,35.3,0.0,0.0,0.0,0.0,0,0,1014.5,954.8,Algerie
2025-06-28T03:00,900,12.9,13.5,100,2.7,203,5.4,0.0,0.0,0.0,0.0,45,95,1023.0,895.1,Fianarantsoa
2025-06-28T01:00,900,18.7,18.9,84,12.5,237,28.8,0.0,0.0,0.0,0.0,2,65,1022.5,1020.6,London
2025-06-28T05:30,900,28.6,31.5,84,29.1,221,41.0,0.1,0.0,0.1,0.0,80,100,1001.7,1000.8,Mumbai
2025-06-28T03:00,900,16.4,16.2,81,7.8,292,18.0,0.0,0.0,0.0,0.0,2,78,1015.6,780.2,Addis Ababa
2025-06-27T19:00,900,33.5,35.2,45,14.3,170,21.2,0.0,0.0,0.0,0.0,0,14,1013.4,998.1,Dallas
2025-06-28T02:00,900,20.5,19.9,63,11.0,341,25.6,0.0,0.0,0.0,0.0,3,100,1024.0,1002.9,Vienna
2025-06-27T20:00,900,19.2,18.3,74,16.6,124,34.9,0.2,0.2,0.0,0.0,53,100,1018.8,1009.8,Montreal
2025-06-27T20:00,900,19.3,18.1,59,10.5,121,18.7,0.0,0.0,0.0,0.0,0,7,1023.8,1022.7,Boston
2025-06-27T20:00,900,7.8,6.2,92,5.4,228,10.1,0.0,0.0,0.0,0.0,3,100,1020.3,956.1,Santiago
2025-06-28T02:00,900,23.8,25.8,64,1.8,191,3.6,0.0,0.0,0.0,0.0,0,0,1025.1,1020.9,Paris
2025-06-28T08:00,900,23.5,27.3,85,3.2,153,14.0,0.0,0.0,0.0,0.0,3,99,1005.0,999.6,Beijing
2025-06-28T02:00,900,19.8,19.1,81,20.2,232,38.2,0.0,0.0,0.0,0.0,2,53,1020.7,1020.1,Amsterdam
2025-06-29T01:00,900,23.1,27.4,88,1.3,34,1.4,0.0,0.0,0.0,0.0,0,0,1020.9,1016.9,Algiers
2025-06-29T03:00,900,15.9,16.6,92,5.9,137,9.7,0.1,0.1,0.0,0.0,61,98,1022.2,883.4,Antananarivo
2025-06-29T02:00,900,22.6,24.2,75,9.0,307,22.0,0.0,0.0,0.0,0.0,2,89,1022.1,1017.7,Berlin
2025-06-29T08:00,900,29.3,34.5,76,9.1,173,23.8,0.0,0.0,0.0,0.0,1,40,1006.7,1006.1,Shanghai
2025-06-29T03:00,900,18.0,15.6,27,1.3,326,2.9,0.0,0.0,0.0,0.0,0,0,1009.8,911.3,Ankara
2025-06-29T00:00,900,25.3,30.8,92,3.6,217,7.2,0.3,0.0,0.3,0.0,95,100,1014.4,1008.6,Abidjan
2025-06-29T03:00,900,26.5,27.5,72,22.8,186,30.2,0.0,0.0,0.0,0.0,1,38,1015.3,1015.3,Comores
2025-06-29T01:00,900,25.4,27.4,59,2.5,315,5.0,0.0,0.0,0.0,0.0,2,67,1019.5,1011.8,Lisbon
2025-06-29T07:00,900,26.2,31.5,85,3.5,204,7.6,0.0,0.0,0.0,0.0,3,98,1006.3,1005.8,Bangkok
2025-06-29T04:30,900,16.5,13.6,41,9.2,296,24.5,0.0,0.0,0.0,0.0,0,0,1003.7,815.9,Kabul
2025-06-29T09:00,900,26.6,31.7,72,1.1,342,11.9,0.0,0.0,0.0,0.0,0,7,1010.0,1005.4,Tokyo
2025-06-29T03:30,900,25.2,22.9,25,5.8,30,12.2,0.0,0.0,0.0,0.0,1,31,1003.5,878.9,Tehran
2025-06-29T03:00,900,13.9,12.2,96,19.4,188,31.0,0.1,0.1,0.0,0.0,51,100,1001.7,1000.7,Helsinki
2025-06-29T03:00,900,26.0,29.0,68,4.6,219,7.9,0.0,0.0,0.0,0.0,0,0,1000.8,997.0,Beirut
